location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc104,4.1,0.011020274,0.28034861,13.537008,15.995417,119.546275535995
ngc5139,4.9,0.06332022,0.89694077,23.317542,18.594739,109.504451348714
ngc6341,8,0.0075049129,0.16706345,9.9200826,11.304925,64.2022683018421
ngc362,8,0.0075049129,0.16706345,9.9200826,11.304925,64.2022683018421
ngc5286,11.3,0.0075049129,0.16706345,9.9200826,11.304925,45.4529333110386
ngc6356,13.8,0.0075049129,0.16706345,9.9200826,11.304925,37.2187062619374
ngc6864,17.7,0.0075049129,0.16706345,9.9200826,11.304925,29.0179743737139
ngc104,4.1,0.048107155,0.71335537,17.517704,13.73877,10.9041999636197
ngc6266,6.6,0.048107155,0.71335537,17.517704,13.73877,6.77382118952129
ngc6522,6.8,0.079168342,0.92679063,9.4306942,7.2883948,6.7656632778146
ngc7078,10,0.24005661,0.96679136,16.483984,17.587474,6.52840775855605
ngc2419,90.4,0.06332022,0.89694077,23.317542,18.594739,5.93552888947678
ngc104,4.1,0.29169745,0.96062885,16.21441,17.826802,5.78664107589188
ngc6441,9.2,0.17671178,0.93654151,20.260001,17.613668,5.29050838604855
ngc6325,9,0.079168342,0.92679063,9.4306942,7.2883948,5.11183447657104
ngc5139,4.9,0.1011963,0.8378624,19.087006,16.587566,4.85383364829331
ngc6453,10.5,0.079168342,0.92679063,9.4306942,7.2883948,4.38157240848946
ngc6539,7.5,0.15267674,0.93311254,14.400859,13.273647,3.87824181516969
ngc6266,6.6,0.29169745,0.96062885,16.21441,17.826802,3.59473157744799
ngc6402,8.4,0.15267674,0.93311254,14.400859,13.273647,3.46271590640151
ngc6266,6.6,0.14960059,0.91747137,13.537008,15.995417,3.34296621244715
ngc6266,6.6,0.14960059,0.91747137,13.537008,15.995417,3.34296621244715
ngc6626,5.5,0.9797678,0.9948976,8.9802543,10.655065,3.16962539159481
ngc6266,6.6,0.11151302,0.86778733,17.517704,13.73877,3.05538102100404
ngc5139,4.9,0.20432259,0.91717555,19.087006,16.587566,2.65704896877367
ngc6388,10.9,0.065395909,0.71886112,19.041063,18.521494,2.54070251326865
ngc6541,7.2,0.9797678,0.9948976,8.9802543,10.655065,2.42124161857937
ngc6626,5.5,0.081597879,0.79616015,21.910172,7.6559795,2.2086675103951
ngc6626,5.5,0.081597879,0.79616015,21.910172,7.6559795,2.2086675103951
ngc6626,5.5,0.081597879,0.79616015,21.910172,7.6559795,2.2086675103951
ngc104,4.1,0.26221303,0.90502234,17.974388,32.031457,2.12841619143908
ngc6139,9.1,0.9797678,0.9948976,8.9802543,10.655065,1.9157076542606
ngc6139,9.1,0.9797678,0.9948976,8.9802543,10.655065,1.9157076542606
ngc6139,9.1,0.9797678,0.9948976,8.9802543,10.655065,1.9157076542606
ngc5986,10,0.15104287,0.91045345,14.75027,14.868473,1.7632793432803
ngc104,4.1,0.25398994,0.92509128,18.814877,15.582771,1.75063523396151
ngc7078,10,0.11987148,0.80074384,17.974388,32.031457,1.74763800516093
ngc6517,10.1,0.9797678,0.9948976,8.9802543,10.655065,1.72603362908628
ngc6517,10.1,0.9797678,0.9948976,8.9802543,10.655065,1.72603362908628
ngc6517,10.1,0.9797678,0.9948976,8.9802543,10.655065,1.72603362908628
ngc6440,7.5,0.081597879,0.79616015,21.910172,7.6559795,1.61968950762307
ngc6440,7.5,0.081597879,0.79616015,21.910172,7.6559795,1.61968950762307
Djor2,13.2,0.15104287,0.91045345,14.75027,14.868473,1.33581768430326
ngc6266,6.6,0.26221303,0.90502234,17.974388,32.031457,1.3221979371061
ngc6402,8.4,0.69584966,0.98595014,12.468967,14.589496,1.15646341669064
ngc6402,8.4,0.69584966,0.98595014,12.468967,14.589496,1.15646341669064
ngc6809,5.1,1.2250545,0.98857681,18.522859,17.263123,1.11936282042613
ngc6809,5.1,1.2250545,0.98857681,18.522859,17.263123,1.11936282042613
ngc5024,18.1,0.041248961,0.55431023,13.38759,16.758747,1.11900152816674
ngc6316,10.9,0.081597879,0.79616015,21.910172,7.6559795,1.11446525753881
ngc6316,10.9,0.081597879,0.79616015,21.910172,7.6559795,1.11446525753881
ngc6266,6.6,0.33018449,0.92403469,17.974388,32.031457,1.09245437204062
ngc6656,3.1,0.18614593,0.8383201,13.294285,28.189085,1.08342614511242
ngc104,4.1,0.58370286,0.96706162,18.15287,17.880498,1.056504783008
ngc2808,8.9,0.21977804,0.90935589,19.041063,18.521494,1.02129495633136
